19950709T,0.34,0.34,0.34,0.34,0.0
19960704T,0.27,0.27,0.27,0.27,0.0
19940804T,0.22,0.22,0.22,0.22,0.0
19940811T,0.34,0.34,0.34,0.34,0.0
19950806T,0.3,0.3,0.3,0.3,0.0
19960801T,0.32,0.32,0.32,0.32,0.0
19940901T,0.43,0.43,0.43,0.43,0.0
19940908T,0.47,0.47,0.47,0.47,0.0
19950903T,0.45,0.45,0.45,0.45,0.0
19950910T,0.37,0.37,0.37,0.37,0.0
19960905T,0.38,0.38,0.38,0.38,0.0
19941006T,0.33,0.33,0.33,0.33,0.0
19951001T,0.35,0.35,0.35,0.35,0.0
19951008T,0.39,0.39,0.39,0.39,0.0
19961003T,0.43,0.43,0.43,0.43,0.0
19941103T,0.4,0.4,0.4,0.4,0.0
19941110T,0.37,0.37,0.37,0.37,0.0
19951105T,0.39,0.39,0.39,0.39,0.0
19951111T,0.39,0.39,0.39,0.39,0.0
19961106T,0.44,0.44,0.44,0.44,0.0
19941208T,0.3,0.3,0.3,0.3,0.0
19951203T,0.33,0.33,0.33,0.33,0.0
19951210T,0.42,0.42,0.42,0.42,0.0
19961205T,0.4,0.4,0.4,0.4,0.0
19950105T,0.44,0.44,0.44,0.44,0.0
19950112T,0.36,0.36,0.36,0.36,0.0
19960107T,0.37,0.37,0.37,0.37,0.0
19970102T,0.38,0.38,0.38,0.38,0.0
19950202T,0.38,0.38,0.38,0.38,0.0
19950209T,0.34,0.34,0.34,0.34,0.0
19960204T,0.43,0.43,0.43,0.43,0.0
19960211T,0.46,0.46,0.46,0.46,0.0
19950302T,0.53,0.53,0.53,0.53,0.0
19950309T,0.48,0.48,0.48,0.48,0.0
19960304T,0.39,0.39,0.39,0.39,0.0
19960311T,0.47,0.47,0.47,0.47,0.0
19970306T,0.52,0.52,0.52,0.52,0.0
19950406T,0.42,0.42,0.42,0.42,0.0
19960401T,0.4,0.4,0.4,0.4,0.0
19960408T,0.37,0.37,0.37,0.37,0.0
19970403T,0.52,0.52,0.52,0.52,0.0
19950504T,0.42,0.42,0.42,0.42,0.0
19950511T,0.44,0.44,0.44,0.44,0.0
19960506T,0.42,0.42,0.42,0.42,0.0
19970501T,0.44,0.44,0.44,0.44,0.0
19950601T,0.39,0.39,0.39,0.39,0.0
19950608T,0.44,0.44,0.44,0.44,0.0
19960603T,0.36,0.36,0.36,0.36,0.0
19960610T,0.48,0.48,0.48,0.48,0.0
19970605T,0.35,0.35,0.35,0.35,0.0
19950706T,0.35,0.35,0.35,0.35,0.0
19960701T,0.44,0.44,0.44,0.44,0.0
19960708T,0.43,0.43,0.43,0.43,0.0
19970703T,0.41,0.41,0.41,0.41,0.0
19950803T,0.38,0.38,0.38,0.38,0.0
19950810T,0.4,0.4,0.4,0.4,0.0
19960805T,0.36,0.36,0.36,0.36,0.0
19960812T,0.35,0.35,0.35,0.35,0.0
19970807T,0.38,0.38,0.38,0.38,0.0
19950907T,0.37,0.37,0.37,0.37,0.0
19960902T,0.46,0.46,0.46,0.46,0.0
